address,area,price,property,room_id,status,use
大俊达海湾商业城二期6号楼1层不计容公共开放架空空间,,334.92,,JK,不可售,其它
大俊达海湾商业城二期6号楼2层封闭空间,,1.74,,FB,不可售,其它
大俊达海湾商业城二期6号楼22层2201室,125.53,39330,商品房,2201,土地抵押,住宅
大俊达海湾商业城二期6号楼23层2304室,105.30,36949,商品房,2304,土地抵押,住宅
大俊达海湾商业城二期6号楼23层2303室,108.23,37949,商品房,2303,土地抵押,住宅
大俊达海湾商业城二期6号楼23层2302室,108.46,38449,商品房,2302,土地抵押,住宅
大俊达海湾商业城二期6号楼23层2301室,125.53,39330,商品房,2301,土地抵押,住宅
大俊达海湾商业城二期6号楼24层2404室,105.30,36949,商品房,2404,土地抵押,住宅
大俊达海湾商业城二期6号楼24层2403室,108.23,37949,商品房,2403,土地抵押,住宅
大俊达海湾商业城二期6号楼24层2402室,108.46,38449,商品房,2402,土地抵押,住宅
大俊达海湾商业城二期6号楼24层2401室,125.53,39330,商品房,2401,土地抵押,住宅
大俊达海湾商业城二期6号楼25层2502室,114.47,42449,商品房,2502,土地抵押,住宅
大俊达海湾商业城二期6号楼25层2501室,114.47,42449,商品房,2501,土地抵押,住宅
大俊达海湾商业城二期6号楼10层1003室,108.23,33989,商品房,1003,土地抵押,住宅
大俊达海湾商业城二期6号楼10层1002室,108.46,34489,商品房,1002,土地抵押,住宅
大俊达海湾商业城二期6号楼3层304室,105.30,29269,商品房,304,土地抵押,住宅
大俊达海湾商业城二期6号楼1跃2层103单元,133.77,38000,商品房,103,土地抵押,商业、金融、信息
大俊达海湾商业城二期6号楼1跃2层102单元,143.32,38000,商品房,102,土地抵押,商业、金融、信息
大俊达海湾商业城二期6号楼1跃2层101单元,147.47,38000,商品房,101,土地抵押,商业、金融、信息
大俊达海湾商业城二期6号楼3层303室,108.23,30269,商品房,303,土地抵押,住宅
大俊达海湾商业城二期6号楼3层302室,108.46,30769,商品房,302,土地抵押,住宅
大俊达海湾商业城二期6号楼3层301室,125.53,31650,商品房,301,土地抵押,住宅
大俊达海湾商业城二期6号楼4层404室,105.30,29869,商品房,404,土地抵押,住宅
大俊达海湾商业城二期6号楼4层403室,108.23,30869,商品房,403,土地抵押,住宅
大俊达海湾商业城二期6号楼4层402室,108.46,31369,商品房,402,土地抵押,住宅
大俊达海湾商业城二期6号楼4层401室,125.53,32250,商品房,401,土地抵押,住宅
大俊达海湾商业城二期6号楼5层504室,105.30,30469,商品房,504,土地抵押,住宅
大俊达海湾商业城二期6号楼5层503室,108.23,31469,商品房,503,土地抵押,住宅
大俊达海湾商业城二期6号楼5层502室,108.46,31969,商品房,502,土地抵押,住宅
大俊达海湾商业城二期6号楼5层501室,125.53,32850,商品房,501,土地抵押,住宅
大俊达海湾商业城二期6号楼6层604室,105.30,31069,商品房,604,土地抵押,住宅
大俊达海湾商业城二期6号楼6层603室,108.23,32069,商品房,603,土地抵押,住宅
大俊达海湾商业城二期6号楼6层602室,108.46,32569,商品房,602,土地抵押,住宅
大俊达海湾商业城二期6号楼6层601室,125.53,33450,商品房,601,土地抵押,住宅
大俊达海湾商业城二期6号楼7层704室,105.30,31669,商品房,704,土地抵押,住宅
大俊达海湾商业城二期6号楼7层703室,108.23,32669,商品房,703,土地抵押,住宅
大俊达海湾商业城二期6号楼7层702室,108.46,33169,商品房,702,土地抵押,住宅
大俊达海湾商业城二期6号楼7层701室,125.53,34050,商品房,701,土地抵押,住宅
大俊达海湾商业城二期6号楼8层804室,105.30,32269,商品房,804,土地抵押,住宅
大俊达海湾商业城二期6号楼8层803室,108.23,33269,商品房,803,土地抵押,住宅
大俊达海湾商业城二期6号楼8层802室,108.46,33769,商品房,802,土地抵押,住宅
大俊达海湾商业城二期6号楼8层801室,125.53,34650,商品房,801,土地抵押,住宅
大俊达海湾商业城二期6号楼9层904室,105.30,32629,商品房,904,土地抵押,住宅
大俊达海湾商业城二期6号楼9层903室,108.23,33629,商品房,903,土地抵押,住宅
大俊达海湾商业城二期6号楼9层902室,108.46,34129,商品房,902,土地抵押,住宅
大俊达海湾商业城二期6号楼9层901室,125.53,35010,商品房,901,土地抵押,住宅
大俊达海湾商业城二期6号楼10层1004室,105.30,32989,商品房,1004,土地抵押,住宅
大俊达海湾商业城二期6号楼10层1001室,125.53,35370,商品房,1001,土地抵押,住宅
大俊达海湾商业城二期6号楼11层1104室,105.30,33349,商品房,1104,土地抵押,住宅
大俊达海湾商业城二期6号楼11层1103室,108.23,34349,商品房,1103,土地抵押,住宅
大俊达海湾商业城二期6号楼11层1102室,108.46,34849,商品房,1102,土地抵押,住宅
大俊达海湾商业城二期6号楼11层1101室,125.53,35730,商品房,1101,土地抵押,住宅
大俊达海湾商业城二期6号楼12层1204室,105.30,33709,商品房,1204,土地抵押,住宅
大俊达海湾商业城二期6号楼12层1203室,108.23,34709,商品房,1203,土地抵押,住宅
大俊达海湾商业城二期6号楼12层1202室,108.46,35209,商品房,1202,土地抵押,住宅
大俊达海湾商业城二期6号楼12层1201室,125.53,36090,商品房,1201,土地抵押,住宅
大俊达海湾商业城二期6号楼13层1304室,105.30,34069,商品房,1304,土地抵押,住宅
大俊达海湾商业城二期6号楼13层1303室,108.23,35069,商品房,1303,土地抵押,住宅
大俊达海湾商业城二期6号楼13层1302室,108.46,35569,商品房,1302,土地抵押,住宅
大俊达海湾商业城二期6号楼13层1301室,125.53,36450,商品房,1301,土地抵押,住宅
大俊达海湾商业城二期6号楼14层1404室,105.30,34429,商品房,1404,土地抵押,住宅
大俊达海湾商业城二期6号楼14层1403室,108.23,35429,商品房,1403,土地抵押,住宅
大俊达海湾商业城二期6号楼14层1402室,108.46,35929,商品房,1402,土地抵押,住宅
大俊达海湾商业城二期6号楼14层1401室,125.53,36810,商品房,1401,土地抵押,住宅
大俊达海湾商业城二期6号楼15层1504室,105.30,34789,商品房,1504,土地抵押,住宅
大俊达海湾商业城二期6号楼15层1503室,108.23,35789,商品房,1503,土地抵押,住宅
大俊达海湾商业城二期6号楼15层1502室,108.46,36289,商品房,1502,土地抵押,住宅
大俊达海湾商业城二期6号楼15层1501室,125.53,37170,商品房,1501,土地抵押,住宅
大俊达海湾商业城二期6号楼16层1604室,105.30,35149,商品房,1604,土地抵押,住宅
大俊达海湾商业城二期6号楼16层1603室,108.23,36149,商品房,1603,土地抵押,住宅
大俊达海湾商业城二期6号楼16层1602室,108.46,36649,商品房,1602,土地抵押,住宅
大俊达海湾商业城二期6号楼16层1601室,125.53,37530,商品房,1601,土地抵押,住宅
大俊达海湾商业城二期6号楼17层1704室,105.30,35509,商品房,1704,土地抵押,住宅
大俊达海湾商业城二期6号楼17层1703室,108.23,36509,商品房,1703,土地抵押,住宅
大俊达海湾商业城二期6号楼17层1702室,108.46,37009,商品房,1702,土地抵押,住宅
大俊达海湾商业城二期6号楼17层1701室,125.53,37890,商品房,1701,土地抵押,住宅
大俊达海湾商业城二期6号楼18层1804室,105.30,35869,商品房,1804,土地抵押,住宅
大俊达海湾商业城二期6号楼18层1803室,108.23,36869,商品房,1803,土地抵押,住宅
大俊达海湾商业城二期6号楼18层1802室,108.46,37369,商品房,1802,土地抵押,住宅
大俊达海湾商业城二期6号楼18层1801室,125.53,38250,商品房,1801,土地抵押,住宅
大俊达海湾商业城二期6号楼19层1904室,105.30,36229,商品房,1904,土地抵押,住宅
大俊达海湾商业城二期6号楼19层1903室,108.23,37229,商品房,1903,土地抵押,住宅
大俊达海湾商业城二期6号楼19层1902室,108.46,37729,商品房,1902,土地抵押,住宅
大俊达海湾商业城二期6号楼19层1901室,125.53,38610,商品房,1901,土地抵押,住宅
大俊达海湾商业城二期6号楼20层2004室,105.30,36589,商品房,2004,土地抵押,住宅
大俊达海湾商业城二期6号楼20层2003室,108.23,37589,商品房,2003,土地抵押,住宅
大俊达海湾商业城二期6号楼20层2002室,108.46,38089,商品房,2002,土地抵押,住宅
大俊达海湾商业城二期6号楼20层2001室,125.53,38970,商品房,2001,土地抵押,住宅
大俊达海湾商业城二期6号楼21层2104室,105.30,36949,商品房,2104,土地抵押,住宅
大俊达海湾商业城二期6号楼21层2103室,108.23,37949,商品房,2103,土地抵押,住宅
大俊达海湾商业城二期6号楼21层2102室,108.46,38449,商品房,2102,土地抵押,住宅
大俊达海湾商业城二期6号楼21层2101室,125.53,39330,商品房,2101,土地抵押,住宅
大俊达海湾商业城二期6号楼22层2204室,105.30,36949,商品房,2204,土地抵押,住宅
大俊达海湾商业城二期6号楼22层2203室,108.23,37949,商品房,2203,土地抵押,住宅
大俊达海湾商业城二期6号楼22层2202室,108.46,38449,商品房,2202,土地抵押,住宅
