address,area,price,property,room_id,status,use
厦门金茂2017XP08地块1号楼27层2701室,87.91,36492,商品房,2701,,住宅
厦门金茂2017XP08地块1号楼17层1704室,109.16,38112,商品房,1704,,住宅
厦门金茂2017XP08地块1号楼17层1703室,81.56,35452,商品房,1703,,住宅
厦门金茂2017XP08地块1号楼17层1702室,81.56,35372,商品房,1702,,住宅
厦门金茂2017XP08地块1号楼17层1701室,87.91,36542,商品房,1701,,住宅
厦门金茂2017XP08地块1号楼18层1804室,109.16,38212,商品房,1804,,住宅
厦门金茂2017XP08地块1号楼18层1803室,81.56,35552,商品房,1803,,住宅
厦门金茂2017XP08地块1号楼18层1802室,81.56,35472,商品房,1802,,住宅
厦门金茂2017XP08地块1号楼18层1801室,87.91,36642,商品房,1801,,住宅
厦门金茂2017XP08地块1号楼19层1904室,109.16,38312,商品房,1904,,住宅
厦门金茂2017XP08地块1号楼2层204室,109.16,35712,商品房,204,,住宅
厦门金茂2017XP08地块2号楼1层103室,87.22,29749,商品房,103,,住宅
厦门金茂2017XP08地块3号楼2层202室,81.75,38094,商品房,202,,住宅
厦门金茂2017XP08地块7号楼1层104室,119.57,38494,商品房,104,,住宅
厦门金茂2017XP08地块8号楼1层104室,119.57,30773,商品房,104,,住宅
厦门金茂2017XP08地块5号楼2层204室,88.87,37751,商品房,204,,住宅
厦门金茂2017XP08地块6号楼2层204室,89.09,37578,商品房,204,,住宅
厦门金茂2017XP08地块6号楼2层203室,82.74,36818,商品房,203,,住宅
厦门金茂2017XP08地块6号楼2层202室,82.74,36818,商品房,202,,住宅
厦门金茂2017XP08地块6号楼2层201室,89.09,37888,商品房,201,,住宅
厦门金茂2017XP08地块6号楼3层304室,89.09,37978,商品房,304,,住宅
厦门金茂2017XP08地块6号楼3层303室,82.74,37218,商品房,303,,住宅
厦门金茂2017XP08地块6号楼3层302室,82.74,37218,商品房,302,,住宅
厦门金茂2017XP08地块6号楼3层301室,89.09,38288,商品房,301,,住宅
厦门金茂2017XP08地块6号楼4层404室,89.09,38378,商品房,404,,住宅
厦门金茂2017XP08地块6号楼4层403室,82.74,37618,商品房,403,,住宅
厦门金茂2017XP08地块6号楼4层402室,82.74,37618,商品房,402,,住宅
厦门金茂2017XP08地块6号楼4层401室,89.09,38688,商品房,401,,住宅
厦门金茂2017XP08地块6号楼5层504室,89.09,38528,商品房,504,,住宅
厦门金茂2017XP08地块6号楼5层503室,82.74,37768,商品房,503,,住宅
厦门金茂2017XP08地块6号楼5层502室,82.74,37768,商品房,502,,住宅
厦门金茂2017XP08地块6号楼5层501室,89.09,38838,商品房,501,,住宅
厦门金茂2017XP08地块6号楼6层604室,89.09,38678,商品房,604,,住宅
厦门金茂2017XP08地块6号楼6层603室,82.74,37918,商品房,603,,住宅
厦门金茂2017XP08地块6号楼6层602室,82.74,37918,商品房,602,,住宅
厦门金茂2017XP08地块6号楼6层601室,89.09,38988,商品房,601,,住宅
厦门金茂2017XP08地块6号楼7层704室,89.09,38828,商品房,704,,住宅
厦门金茂2017XP08地块6号楼7层703室,82.74,38068,商品房,703,,住宅
厦门金茂2017XP08地块6号楼7层702室,82.74,38068,商品房,702,,住宅
厦门金茂2017XP08地块6号楼7层701室,89.09,39138,商品房,701,,住宅
厦门金茂2017XP08地块6号楼8层804室,89.09,38978,商品房,804,,住宅
厦门金茂2017XP08地块6号楼8层803室,82.74,38218,商品房,803,,住宅
厦门金茂2017XP08地块6号楼8层802室,82.74,38218,商品房,802,,住宅
厦门金茂2017XP08地块6号楼8层801室,89.09,39288,商品房,801,,住宅
厦门金茂2017XP08地块6号楼9层904室,89.09,39128,商品房,904,,住宅
厦门金茂2017XP08地块6号楼9层903室,82.74,38368,商品房,903,,住宅
厦门金茂2017XP08地块6号楼9层902室,82.74,38368,商品房,902,,住宅
厦门金茂2017XP08地块6号楼9层901室,89.09,39438,商品房,901,,住宅
厦门金茂2017XP08地块6号楼10层1004室,89.09,39278,商品房,1004,,住宅
厦门金茂2017XP08地块6号楼10层1003室,82.74,38518,商品房,1003,,住宅
厦门金茂2017XP08地块6号楼10层1002室,82.74,38518,商品房,1002,,住宅
厦门金茂2017XP08地块6号楼10层1001室,89.09,39538,商品房,1001,,住宅
厦门金茂2017XP08地块6号楼11层1104室,89.09,39378,商品房,1104,,住宅
厦门金茂2017XP08地块6号楼11层1103室,82.74,38618,商品房,1103,,住宅
厦门金茂2017XP08地块6号楼11层1102室,82.74,38618,商品房,1102,,住宅
