address,area,price,property,room_id,status,use
,581.72,,自用房,2501,不可售,办公
,581.72,22140,商品房,1701,,办公
天地金融港(2012P09地块)2#楼18层1806单元,343.26,23390,商品房,1804,,办公
,585.20,23240,商品房,1803,,办公
天地金融港(2012P09地块)2#楼18层1803单元,343.29,23290,商品房,1802,,办公
,581.72,23140,商品房,1801,,办公
天地金融港(2012P09地块)2#楼19层1906单元,343.26,24290,商品房,1904,,办公
,585.20,24140,商品房,1903,,办公
天地金融港(2012P09地块)2#楼19层1903单元,343.29,24190,商品房,1902,,办公
,581.72,24040,商品房,1901,,办公
天地金融港(2012P09地块)2#楼20层2006单元,343.26,,自用房,2004,不可售,办公
,585.20,,自用房,2003,不可售,办公
天地金融港(2012P09地块)2#楼20层2003单元,343.29,,自用房,2002,不可售,办公
,581.72,,自用房,2001,不可售,办公
天地金融港(2012P09地块)2#楼21层2106单元,343.26,,自用房,2104,不可售,办公
,343.34,,自用房,604,不可售,办公
天地金融港(2012P09地块)3#楼01单元,548.62,36556.61,商品房,489,,办公
天地金融港(2012P09地块)3#楼02单元,464.44,37164.13,商品房,487,,办公
天地金融港(2012P09地块)3#楼03单元,464.44,36077.17,商品房,485,,办公
天地金融港(2012P09地块)3#楼04单元,464.44,36077.17,商品房,483,,办公
天地金融港(2012P09地块)3#楼05单元,464.44,36077.17,商品房,481,,办公
天地金融港(2012P09地块)3#楼06单元,464.44,36077.17,商品房,479,,办公
天地金融港(2012P09地块)3#楼07单元,464.44,36077.17,商品房,477,,办公
天地金融港(2012P09地块)3#楼08单元,464.74,36077.17,商品房,475,,办公
天地金融港(2012P09地块)3#楼09单元,547.61,38794.57,商品房,473,,办公
,576.02,,自用房,603,不可售,办公
,343.37,,自用房,602,不可售,办公
,574.59,,自用房,601,不可售,办公
,343.34,19610,商品房,704,,办公
,576.02,,自用房,703,不可售,办公
,343.37,19510,商品房,702,,办公
,574.59,,自用房,701,不可售,办公
,343.34,19610,商品房,804,,办公
,576.02,19049,商品房,803,,办公
,343.37,19510,商品房,802,,办公
,574.59,19360,商品房,801,,办公
,343.34,19610,商品房,904,,办公
,576.02,19460,商品房,903,,办公
,343.37,19510,商品房,902,,办公
,574.59,19360,商品房,901,,办公
,343.34,19049,商品房,1004,,办公
,576.02,19049,商品房,1003,,办公
,343.37,19510,商品房,1002,,办公
,574.59,19360,商品房,1001,,办公
,343.34,19149,商品房,1104,,办公
,576.02,19149,商品房,1103,,办公
,343.37,19149,商品房,1102,,办公
,574.59,19149,商品房,1101,,办公
天地金融港(2012P09地块)2#楼13层1306单元,343.26,,自用房,1304,不可售,办公
,585.20,,自用房,1303,不可售,办公
天地金融港(2012P09地块)2#楼13层1303单元,343.29,,自用房,1302,不可售,办公
,581.72,,自用房,1301,不可售,办公
天地金融港(2012P09地块)2#楼14层1406单元,343.26,19980,商品房,1404,,办公
,585.20,19149,商品房,1403,,办公
天地金融港(2012P09地块)2#楼14层1403单元,343.29,19149,商品房,1402,,办公
,581.72,19720,商品房,1401,,办公
天地金融港(2012P09地块)2#楼15层1506单元,343.26,19149,商品房,1504,,办公
,585.20,19149,商品房,1503,,办公
天地金融港(2012P09地块)2#楼15层1503单元,343.29,19149,商品房,1502,,办公
,581.72,19149,商品房,1501,,办公
天地金融港(2012P09地块)2#楼16层1606单元,343.26,21390,商品房,1604,,办公
,585.20,19988,商品房,1603,,办公
天地金融港(2012P09地块)2#楼16层1603单元,343.29,19988,商品房,1602,,办公
,581.72,19988,商品房,1601,,办公
天地金融港(2012P09地块)2#楼17层1706单元,343.26,22390,商品房,1704,,办公
,585.20,22240,商品房,1703,,办公
天地金融港(2012P09地块)2#楼17层1703单元,343.29,22290,商品房,1702,,办公
,585.20,,自用房,2103,不可售,办公
天地金融港(2012P09地块)2#楼21层2103单元,343.29,,自用房,2102,不可售,办公
,581.72,,自用房,2101,不可售,办公
天地金融港(2012P09地块)2#楼22层2206单元,343.26,,自用房,2204,不可售,办公
,585.20,,自用房,2203,不可售,办公
天地金融港(2012P09地块)2#楼22层2203单元,343.29,,自用房,2202,不可售,办公
,581.72,,自用房,2201,不可售,办公
天地金融港(2012P09地块)2#楼23层2306单元,343.26,,自用房,2304,不可售,办公
,585.20,,自用房,2303,不可售,办公
天地金融港(2012P09地块)2#楼23层2303单元,343.29,,自用房,2302,不可售,办公
,581.72,,自用房,2301,不可售,办公
天地金融港(2012P09地块)2#楼24层2406单元,343.26,,自用房,2404,不可售,办公
,585.20,,自用房,2403,不可售,办公
天地金融港(2012P09地块)2#楼24层2403单元,343.29,,自用房,2402,不可售,办公
,581.72,,自用房,2401,不可售,办公
天地金融港(2012P09地块)2#楼25层2506单元,343.26,,自用房,2504,不可售,办公
,585.20,,自用房,2503,不可售,办公
天地金融港(2012P09地块)2#楼25层2503单元,343.29,,自用房,2502,不可售,办公
