address,area,price,property,room_id,status,use
2016XP04地块8号楼A梯1层101室,170.26,60437,商品房,101,,住宅
2016XP04地块8号楼A梯2跃3层202室,147.34,58936,商品房,202,,住宅
2016XP04地块8号楼A梯2跃3层201室,140.70,57744,商品房,201,,住宅
2016XP04地块8号楼A梯4跃5层402室,138.87,50111,商品房,402,,住宅
2016XP04地块8号楼A梯4跃5层401室,133.36,49450,商品房,401,,住宅
2016XP04地块8号楼A梯6层601室,129.03,49909,商品房,601,,住宅
2016XP04地块8号楼A梯7跃8层702室,88.57,54720,商品房,702,,住宅
2016XP04地块8号楼A梯7跃8层701室,87.71,54187,商品房,701,,住宅
2016XP04地块8号楼D梯1层101室,172.14,59883,商品房,101,,住宅
2016XP04地块8号楼D梯2跃3层202室,140.65,58204,商品房,202,,住宅
2016XP04地块8号楼D梯2跃3层201室,147.29,58515,商品房,201,,住宅
2016XP04地块8号楼D梯4跃5层402室,133.31,49653,商品房,402,,住宅
2016XP04地块8号楼C梯1层101室,167.48,59020,商品房,101,,住宅
2016XP04地块8号楼B梯1层101室,167.48,59020,商品房,101,,住宅
2016XP04地块地下室地下二层人防移动电站,100.57,,其他,RFDZ,不可售,其它
2016XP04地块地下室地下二层非机动车停车库,980.92,,其他,FJDC,不可售,车库/车位
2016XP04地块地下室地下二层第A602、A602-1号子母车位,73.85,600000,商品房,A602、A602-1,,车库/车位
2016XP04地块地下室地下二层第A599、A599-1号子母车位,73.85,600000,商品房,A599、A599-1,,车库/车位
2016XP04地块地下室地下二层第A594、A594-1号人防子母车位,73.85,600000,商品房,A594、A594-1,,车库/车位
2016XP04地块地下室地下二层第A593、A593-1号人防子母车位,73.85,600000,商品房,A593、A593-1,,车库/车位
2016XP04地块地下室地下二层第A333w、A333-1号无障碍子母车位,91.59,600000,商品房,A333w、A333-1,,车库/车位
2016XP04地块地下室地下二层第A332、A332-1号子母车位,73.85,600000,商品房,A332、A332-1,,车库/车位
2016XP04地块地下室地下二层第A078、A078-1号子母车位,73.85,600000,商品房,A078、A078-1,,车库/车位
2016XP04地块地下室地下二层第A058、A058-1号子母车位,73.85,600000,商品房,A058、A058-1,,车库/车位
2016XP04地块地下室地下二层第A056、A056-1号子母车位,73.85,600000,商品房,A056、A056-1,,车库/车位
2016XP04地块地下室地下二层第A055、A055-1号子母车位,73.85,600000,商品房,A055、A055-1,,车库/车位
2016XP04地块地下室地下二层第A052、A052-1号人防子母车位,73.85,600000,商品房,A052、A052-1,,车库/车位
2016XP04地块地下室地下二层第A051、A051-1号人防子母车位,73.85,600000,商品房,A051、A051-1,,车库/车位
2016XP04地块地下室地下二层第A631号车位,35.49,600000,商品房,A631,,车库/车位
2016XP04地块地下室地下二层第A630号车位,40.17,600000,商品房,A630,,车库/车位
2016XP04地块地下室地下二层第A629号车位,40.17,600000,商品房,A629,,车库/车位
2016XP04地块地下室地下二层第A628号车位,40.17,600000,商品房,A628,,车库/车位
2016XP04地块地下室地下二层第A627号车位,40.17,600000,商品房,A627,,车库/车位
2016XP04地块地下室地下二层第A626w号无障碍车位,53.23,600000,商品房,A626w,,车库/车位
2016XP04地块地下室地下二层第A625w号无障碍车位,53.23,600000,商品房,A625w,,车库/车位
2016XP04地块地下室地下二层第A624w号无障碍车位,53.23,600000,商品房,A624w,,车库/车位
2016XP04地块地下室地下二层第A623w号无障碍车位,53.23,600000,商品房,A623w,,车库/车位
2016XP04地块地下室地下二层第A622号车位,35.49,600000,商品房,A622,,车库/车位
2016XP04地块地下室地下二层第A621号车位,35.49,600000,商品房,A621,,车库/车位
